Year-Month,flu: (Netherlands),Influenza: (Netherlands),Griep: (Netherlands),Total Search
2004-01,12,25,3,40
2004-02,15,31,2,48
2004-03,0,16,1,17
2004-04,8,0,1,9
2004-05,0,20,1,21
2004-06,0,12,1,13
2004-07,0,16,1,17
2004-08,0,0,1,1
2004-09,8,9,2,19
2004-10,13,19,2,34
2004-11,6,11,3,20
2004-12,11,13,3,27
2005-01,9,12,3,24
2005-02,11,21,8,40
2005-03,9,22,5,36
2005-04,0,15,2,17
2005-05,0,9,1,10
2005-06,5,10,1,16
2005-07,0,8,1,9
2005-08,8,0,1,9
2005-09,9,9,2,20
2005-10,28,25,3,56
2005-11,18,15,3,36
2005-12,11,13,2,26
2006-01,13,17,3,33
2006-02,23,22,5,50
2006-03,19,22,4,45
2006-04,11,14,2,27
2006-05,9,12,1,22
2006-06,6,10,1,17
2006-07,8,0,1,9
2006-08,6,8,1,15
2006-09,7,9,2,18
2006-10,8,10,2,20
2006-11,7,9,2,18
2006-12,6,7,2,15
2007-01,8,6,2,16
2007-02,9,12,5,26
2007-03,7,13,4,24
2007-04,7,9,1,17
2007-05,5,8,1,14
2007-06,4,11,1,16
2007-07,4,5,1,10
2007-08,4,7,1,12
2007-09,5,6,2,13
2007-10,7,11,2,20
2007-11,8,8,3,19
2007-12,7,10,3,20
2008-01,9,12,4,25
2008-02,9,12,5,26
2008-03,6,8,3,17
2008-04,5,8,2,15
2008-05,5,9,1,15
2008-06,4,7,1,12
2008-07,4,4,1,9
2008-08,5,5,1,11
2008-09,5,7,2,14
2008-10,6,11,2,19
2008-11,9,9,3,21
2008-12,7,11,3,21
2009-01,12,20,10,42
2009-02,9,12,4,25
2009-03,7,10,2,19
2009-04,77,29,6,112
2009-05,71,26,11,108
2009-06,44,24,25,93
2009-07,73,34,43,150
2009-08,60,46,58,164
2009-09,32,29,30,91
2009-10,41,31,43,115
2009-11,76,53,100,229
2009-12,25,14,16,55
2010-01,11,9,5,25
2010-02,8,8,4,20
2010-03,8,10,2,20
2010-04,6,7,2,15
2010-05,6,5,1,12
2010-06,6,6,1,13
2010-07,6,6,1,13
2010-08,6,5,1,12
2010-09,8,7,2,17
2010-10,9,8,2,19
2010-11,8,7,2,17
2010-12,11,8,4,23
2011-01,16,17,21,54
2011-02,9,10,8,27
2011-03,8,10,3,21
2011-04,5,6,2,13
2011-05,5,7,1,13
2011-06,5,6,1,12
2011-07,5,3,1,9
2011-08,6,5,1,12
2011-09,7,7,2,16
2011-10,9,7,3,19
2011-11,8,8,3,19
2011-12,8,7,3,18
2012-01,7,8,3,18
2012-02,9,8,4,21
2012-03,8,13,5,26
2012-04,7,7,2,16
2012-05,5,5,2,12
2012-06,5,5,2,12
2012-07,5,4,1,10
2012-08,5,4,1,10
2012-09,7,6,3,16
2012-10,9,8,3,20
2012-11,7,7,3,17
2012-12,9,6,5,20
2013-01,15,14,10,39
2013-02,14,16,12,42
2013-03,10,12,6,28
2013-04,10,9,5,24
2013-05,6,6,2,14
2013-06,5,5,1,11
2013-07,4,5,1,10
2013-08,5,3,1,9
2013-09,7,6,3,16
2013-10,11,9,3,23
2013-11,9,7,3,19
2013-12,8,6,3,17
2014-01,9,7,4,20
2014-02,9,9,3,21
2014-03,9,9,3,21
2014-04,9,7,2,18
2014-05,9,5,2,16
2014-06,8,4,1,13
2014-07,9,5,1,15
2014-08,10,4,2,16
2014-09,10,7,2,19
2014-10,12,9,3,24
2014-11,16,10,3,29
2014-12,13,10,6,29
2015-01,15,16,9,40
2015-02,21,21,11,53
2015-03,16,12,6,34
2015-04,13,8,4,25
2015-05,11,7,2,20
2015-06,10,5,1,16
2015-07,6,5,1,12
2015-08,8,4,1,13
2015-09,10,6,3,19
2015-10,11,8,3,22
2015-11,10,8,3,21
2015-12,10,7,3,20
2016-01,17,12,9,38
2016-02,19,20,16,55
2016-03,15,18,9,42
2016-04,10,7,3,20
2016-05,9,6,2,17
2016-06,9,5,2,16
2016-07,9,4,2,15
2016-08,8,3,1,12
2016-09,10,5,2,17
2016-10,12,8,4,24
2016-11,12,9,4,25
2016-12,14,11,7,32
2017-01,15,17,9,41
2017-02,13,16,7,36
2017-03,10,8,3,21
2017-04,7,6,2,15
2017-05,8,5,2,15
2017-06,7,4,1,12
2017-07,8,4,1,13
2017-08,7,4,1,12
2017-09,11,6,3,20
2017-10,14,9,3,26
2017-11,12,7,3,22
2017-12,14,13,5,32
2018-01,25,22,13,60
2018-02,25,32,20,77
2018-03,17,22,13,52
2018-04,11,8,4,23
2018-05,8,5,2,15
2018-06,7,5,2,14
2018-07,7,4,2,13
2018-08,7,4,1,12
2018-09,12,7,3,22
2018-10,13,8,4,25
2018-11,13,9,4,26
2018-12,14,16,6,36
2019-01,16,16,10,42
2019-02,18,25,12,55
2019-03,13,16,6,35
2019-04,10,11,3,24
2019-05,9,7,2,18
2019-06,8,5,2,15
2019-07,8,4,2,14
2019-08,8,4,2,14
2019-09,12,6,3,21
2019-10,14,8,4,26
2019-11,14,10,4,28
2019-12,14,12,6,32
2020-01,28,21,10,59
2020-02,43,39,17,99
2020-03,100,100,41,241
2020-04,36,31,11,78
2020-05,19,15,4,38
2020-06,15,11,3,29
2020-07,16,9,3,28
2020-08,14,12,3,29
2020-09,20,18,6,44
2020-10,25,23,8,56
2020-11,14,12,4,30
2020-12,16,16,6,38
2021-01,15,14,5,34
2021-02,13,11,3,27
2021-03,11,13,3,27
2021-04,12,10,3,25
2021-05,10,8,3,21
2021-06,14,6,2,22
2021-07,12,8,3,23
2021-08,11,6,2,19
2021-09,13,11,3,27
2021-10,19,14,6,39
2021-11,18,18,7,43
2021-12,15,12,4,31
2022-01,18,15,5,38
2022-02,15,10,3,28
2022-03,22,33,8,63
2022-04,18,37,7,62
2022-05,12,13,3,28
2022-06,12,8,2,22
2022-07,11,6,2,19
2022-08,10,5,2,17
2022-09,13,8,3,24
2022-10,18,11,4,33
2022-11,18,9,3,30
2022-12,26,26,11,63
2023-01,22,34,11,67
2023-02,23,24,8,55
2023-03,19,18,5,42
2023-04,13,9,3,25
2023-05,11,8,2,21
2023-06,10,5,1,16
2023-07,10,4,2,16
2023-08,11,5,2,18
2023-09,14,7,3,24
2023-10,18,10,5,33
2023-11,19,9,6,34
2023-12,21,14,8,43
2024-01,21,38,9,68
2024-02,23,44,9,76
2024-03,17,17,4,38
2024-04,16,11,3,30
2024-05,14,7,2,23
2024-06,16,7,3,26
2024-07,13,5,2,20
2024-08,12,5,2,19
2024-09,16,6,3,25
2024-10,21,10,4,35
2024-11,18,10,4,32
2024-12,22,16,5,43
2025-01,32,57,14,103
2025-02,42,70,21,133
2025-03,27,40,11,78
